Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
HPBFDocument;7.0;3.0;14.0;141;0;0;3
EmfSaveDc;3.0;2.0;4.0;141;0;0;3
XSSFPivotCache;5.0;2.0;5.0;141;0;0;3
WorkingWithFonts;1.0;1.0;8.0;141;0;0;3
WmfSetViewportExt;9.0;1.0;10.0;141;0;0;3
ExternalSheet;3.0;1.0;9.0;14;0;0;0
TestXSLFTableStyles;1.0;1.0;3.0;141;0;0;3
TableCellDescriptor;7.0;2.0;10.0;141;0;0;3
XWPFChart;27.0;3.0;15.0;141;0;0;2
HPBFFileHandler;2.0;3.0;8.0;141;0;0;3
XSSFConnector;8.0;2.0;4.0;141;0;0;3
HSLFPlaceholderDetails;31.0;1.0;7.0;141;0;0;1
XSSFCell;190.0;2.0;85.0;141;0;0;2
TestFunctionRegistry;14.0;1.0;16.0;141;0;0;2
BooleanPropertyValue;5.0;2.0;6.0;141;0;0;3
CRNCountRecord;10.0;4.0;7.0;54;1;1;2
EmfSetTextColor;3.0;2.0;5.0;141;0;0;3
TestFeatRecord;25.0;1.0;15.0;141;0;0;2
TestRef3DPtg;1.0;2.0;5.0;141;0;0;3
Chunks;47.0;1.0;18.0;141;0;0;2
XDDFLine3DChartData;21.0;2.0;9.0;141;0;0;1
EmfPolyBezier16;2.0;3.0;4.0;141;0;0;3
TrustCertificateSecurityException;0.0;6.0;1.0;141;0;0;3
FontAlignmentProp;10.0;2.0;5.0;141;0;0;3
StandardDecryptor;13.0;2.0;16.0;97;1;1;2
TestExtractorFactory;33.0;1.0;20.0;141;0;0;2
ParityFunction;5.0;1.0;9.0;34;1;1;2
TestFormulasFromSpreadsheet;21.0;1.0;17.0;141;0;0;2
XSSFFactory;3.0;2.0;7.0;141;0;0;3
PackagePropertiesPart;75.0;2.0;21.0;141;0;0;2
LegendRecord;36.0;4.0;10.0;322;1;1;2
XSSFChart;23.0;3.0;27.0;141;0;0;2
TableShape;0;0;0;55;1;1;2
OldFontTable;7.0;1.0;9.0;141;0;0;3
XSSFBRichStr;3.0;1.0;4.0;141;0;0;3
POIXMLException;4.0;4.0;77.0;141;0;0;2
ExcelAntEvaluationResult;8.0;1.0;5.0;141;0;0;3
StrokeStyle;0;0;0;115;0;0;3
BulletStyle;0;0;0;29;0;0;0
TestTickRecord;2.0;1.0;5.0;141;0;0;3
Sumif;16.0;2.0;11.0;92;1;1;2
DStarAlgorithmEnum;2.0;0;7.0;24;0;0;0
ZipPartMarshaller;7.0;1.0;20.0;141;0;0;2
ConstantStringFormat;3.0;2.0;1.0;24;0;0;0
LiteralNumericalArrayDataSource;2.0;3.0;2.0;141;0;0;3
ContentTypeManager;38.0;1.0;14.0;141;0;0;1
CalcCountRecord;12.0;4.0;8.0;71;1;1;2
LineDecoration;0;0;0;78;0;0;0
Sheet;0;0;0;34;1;1;2
CodepageRecord;11.0;4.0;12.0;69;1;1;2
CFHeaderBase;23.0;4.0;14.0;125;1;1;2
SignatureFacetHelper;5.0;1.0;5.0;141;0;0;3
CharacterRun;108.0;2.0;37.0;67;0;0;2
GroupMarkerSubRecord;11.0;2.0;9.0;61;1;1;2
FontFormatting;56.0;1.0;12.0;406;1;1;2
LineDash;8.0;0;16.0;49;0;0;2
RichTextValue;4.0;2.0;4.0;141;0;0;3
AxisPosition;3.0;0;24.0;141;0;0;2
Outlining;3.0;1.0;3.0;141;0;0;3
ParaPropFetcher;0;0;0;141;0;0;3
SHDAbstractType;23.0;1.0;6.0;141;0;0;1
XDDFDashStop;6.0;1.0;1.0;141;0;0;3
TestSprms;7.0;1.0;8.0;141;0;0;3
HSLFTabStopDecorator;5.0;1.0;4.0;141;0;0;3
ShapePath;5.0;0;1.0;141;0;0;3
TestHSLFSlideShow;3.0;2.0;6.0;141;0;0;3
HSLFEscherClientDataRecord;15.0;3.0;18.0;141;0;0;2
EmfPlusSetCompositingMode;0.0;2.0;2.0;141;0;0;3
StreamBlockByteBuffer;14.0;2.0;5.0;74;0;0;0
TestEscherOptRecord;10.0;1.0;16.0;141;0;0;2
SS;0.0;1.0;1.0;141;0;0;3
StringFormulaValue;4.0;2.0;3.0;141;0;0;3
ShortField;12.0;1.0;5.0;166;1;1;2
SingleXmlCells;9.0;2.0;8.0;141;0;0;3
EmfPlusRegionRect;4.0;1.0;5.0;141;0;0;3
ModuleType;0.0;0;4.0;8;0;0;0
ExternalName;16.0;1.0;2.0;19;0;0;0
TBDAbstractType;14.0;1.0;3.0;141;0;0;3
CellIterator;9.0;1.0;4.0;40;0;0;0
XSSFBHeaderFooter;11.0;1.0;3.0;141;0;0;3
WmfOffsetWindowOrg;7.0;1.0;8.0;141;0;0;3
TestExOleObjAtom;3.0;1.0;4.0;141;0;0;3
TextDirection;0.0;0;2.0;30;0;0;0
TestHSSFName;12.0;2.0;18.0;141;0;0;2
LayoutTarget;3.0;0;3.0;141;0;0;3
AxisTickLabelPosition;3.0;0;6.0;141;0;0;3
TextCharDelegate;34.0;1.0;2.0;141;0;0;1
FormulaCellCacheEntryComparer;6.0;1.0;3.0;141;0;0;3
BinaryTagDataBlob;3.0;4.0;6.0;141;0;0;3
WorksheetProtectionBlock;35.0;3.0;14.0;197;1;1;2
XSSFDialogsheet;19.0;3.0;6.0;141;0;0;3
XSSFChildAnchor;13.0;2.0;3.0;141;0;0;3
TestHDGFLZW;5.0;1.0;3.0;141;0;0;3
TestAttachments;7.0;1.0;5.0;141;0;0;3
XSSFExcelExtractor;36.0;3.0;29.0;141;0;0;2
