Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
TestFieldsTables;5.0;2.0;7.0;1124;0;0;3
MasterSheet;0;0;0;1124;0;0;3
Duplicatable;0;0;0;1124;0;0;3
HemfFont;21.0;2.0;25.0;1124;0;0;2
HPBFDocument;7.0;3.0;14.0;1124;0;0;3
EmfSaveDc;3.0;2.0;4.0;1124;0;0;3
XSSFPivotCache;5.0;2.0;5.0;1124;0;0;3
WorkingWithFonts;1.0;1.0;8.0;1124;0;0;3
WmfSetViewportExt;9.0;1.0;10.0;1124;0;0;3
ExternalSheet;3.0;1.0;9.0;1124;0;0;3
TestXSLFTableStyles;1.0;1.0;3.0;1124;0;0;3
TableCellDescriptor;7.0;2.0;10.0;1124;0;0;3
XWPFChart;27.0;3.0;15.0;1124;0;0;2
HPBFFileHandler;2.0;3.0;8.0;1124;0;0;3
XSSFConnector;8.0;2.0;4.0;1124;0;0;3
HSLFPlaceholderDetails;31.0;1.0;7.0;1124;0;0;3
XSSFCell;190.0;2.0;85.0;1124;0;0;2
TestFunctionRegistry;14.0;1.0;16.0;98;0;1;2
BooleanPropertyValue;5.0;2.0;6.0;1124;0;0;3
CRNCountRecord;10.0;4.0;7.0;1124;0;0;3
EmfSetTextColor;3.0;2.0;5.0;1124;0;0;3
TestFeatRecord;25.0;1.0;15.0;139;0;1;2
TestRef3DPtg;1.0;2.0;5.0;17;0;1;1
Chunks;47.0;1.0;18.0;1124;0;0;2
XDDFLine3DChartData;21.0;2.0;9.0;1124;0;0;3
EmfPolyBezier16;2.0;3.0;4.0;1124;0;0;3
TrustCertificateSecurityException;0.0;6.0;1.0;1124;0;0;3
FontAlignmentProp;10.0;2.0;5.0;1124;0;0;3
StandardDecryptor;13.0;2.0;16.0;1124;0;0;2
TestExtractorFactory;33.0;1.0;20.0;1124;0;0;2
ParityFunction;5.0;1.0;9.0;1124;0;0;3
TestFormulasFromSpreadsheet;21.0;1.0;17.0;168;0;1;2
XSSFFactory;3.0;2.0;7.0;1124;0;0;3
PackagePropertiesPart;75.0;2.0;21.0;1124;0;0;2
LegendRecord;36.0;4.0;10.0;1124;0;1;1
XSSFChart;23.0;3.0;27.0;1124;0;0;2
TableShape;0;0;0;1124;0;0;3
OldFontTable;7.0;1.0;9.0;1124;0;0;3
XSSFBRichStr;3.0;1.0;4.0;1124;0;0;3
POIXMLException;4.0;4.0;77.0;1124;0;0;2
ExcelAntEvaluationResult;8.0;1.0;5.0;1124;0;0;3
