Resource,LCOM,LCOM*,CBO,FO,DIT,NOC,LOC,NOA,NOO,RFC,WMPC
org.apache.tools.ant.taskdefs.Available.FileDir,3,,0,0,2,0,12,0,3,22,3
org.apache.tools.ant.taskdefs.Basename,0,66,3,2,3,0,32,3,4,47,8
org.apache.tools.ant.taskdefs.BuildNumber,0,58,11,6,3,0,91,1,5,63,11
org.apache.tools.ant.taskdefs.BUnzip2,1,,8,5,4,0,60,0,2,61,10
org.apache.tools.ant.taskdefs.BZip2,,,6,3,4,0,22,0,1,49,2
org.apache.tools.ant.taskdefs.CallTarget,0,75,5,4,3,0,76,4,11,62,19
org.apache.tools.ant.taskdefs.Checksum,41,85,19,16,4,0,246,12,14,159,48
org.apache.tools.ant.taskdefs.Chmod,44,43,13,9,5,0,100,3,16,116,22
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,,,2,2,0,10,4,0,2,2,2
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,,,13,3,1,0,91,0,3,30,16
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,38,86,17,10,1,9,299,23,16,99,53
org.apache.tools.ant.taskdefs.compilers.Gcj,,,7,3,2,0,51,0,2,46,10
org.apache.tools.ant.taskdefs.compilers.Javac12,,,9,6,2,0,40,0,1,43,2
org.apache.tools.ant.taskdefs.compilers.Javac13,,,5,3,2,0,24,0,1,38,2
org.apache.tools.ant.taskdefs.compilers.JavacExternal,,,5,2,2,0,12,0,1,36,2
org.apache.tools.ant.taskdefs.compilers.Jikes,,,7,3,2,0,88,0,1,49,19
org.apache.tools.ant.taskdefs.compilers.Jvc,,,6,3,2,0,41,0,1,42,7
org.apache.tools.ant.taskdefs.compilers.Kjc,,,7,4,2,0,70,0,2,47,12
org.apache.tools.ant.taskdefs.compilers.Sj,,,4,2,2,0,10,0,1,34,1
org.apache.tools.ant.taskdefs.Concat,16,70,24,13,3,0,244,5,11,97,44
org.apache.tools.ant.taskdefs.condition.And,,,2,2,3,0,12,0,1,36,3
org.apache.tools.ant.taskdefs.condition.Condition,,,1,1,0,15,3,0,1,1,1
org.apache.tools.ant.taskdefs.condition.ConditionBase,0,0,17,17,2,5,24,1,17,36,17
org.apache.tools.ant.taskdefs.condition.Contains,0,66,1,1,1,0,22,3,4,19,6
org.apache.tools.ant.taskdefs.condition.Equals,2,75,1,1,1,0,28,4,5,21,8
org.apache.tools.ant.taskdefs.condition.FilesMatch,0,67,4,4,1,0,25,3,3,20,4
org.apache.tools.ant.taskdefs.condition.Http,0,50,7,6,2,0,38,2,3,24,6
org.apache.tools.ant.taskdefs.condition.IsFalse,0,0,1,1,2,0,12,1,2,21,3
org.apache.tools.ant.taskdefs.condition.IsSet,0,0,2,1,2,0,11,1,2,20,3
org.apache.tools.ant.taskdefs.condition.IsTrue,0,0,1,1,2,0,12,1,2,21,3
org.apache.tools.ant.taskdefs.condition.Not,,,2,1,3,0,11,0,1,36,3
org.apache.tools.ant.taskdefs.condition.Or,,,2,2,3,0,12,0,1,36,3
org.apache.tools.ant.taskdefs.condition.Os,58,90,2,1,1,0,92,4,10,28,25
org.apache.tools.ant.taskdefs.condition.Socket,0,50,4,3,2,0,27,2,3,21,5
org.apache.tools.ant.taskdefs.ConditionTask,0,50,4,2,3,0,28,2,3,39,7
org.apache.tools.ant.taskdefs.Copy,261,92,19,15,3,1,304,19,26,115,68
org.apache.tools.ant.taskdefs.Copydir,7,80,7,6,4,0,83,6,7,119,17
org.apache.tools.ant.taskdefs.Copyfile,2,75,4,3,3,0,46,4,5,51,10
org.apache.tools.ant.taskdefs.Cvs,,,0,0,4,0,4,0,0,74,1
org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser,0,78,8,7,1,0,126,8,10,42,24
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,61,85,28,20,3,0,175,7,14,106,32
org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,1,,8,6,1,0,48,0,2,30,5
org.apache.tools.ant.taskdefs.cvslib.CVSEntry,20,87,3,2,1,0,36,4,8,23,9
org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff,11,81,13,10,4,0,174,7,11,119,31
org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry,7,66,0,0,1,0,40,3,4,18,10
org.apache.tools.ant.taskdefs.cvslib.CvsUser,0,50,1,1,1,0,27,2,5,17,7
org.apache.tools.ant.taskdefs.cvslib.RCSFile,4,100,0,0,1,0,26,3,3,15,6
org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream,0,,2,1,3,0,11,1,1,26,2
org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler,,,6,3,2,0,25,0,2,33,3
org.apache.tools.ant.taskdefs.CVSPass,5,81,9,5,3,0,86,4,5,62,14
org.apache.tools.ant.taskdefs.Definer,67,89,12,9,3,2,160,8,14,75,35
org.apache.tools.ant.taskdefs.Delete,0,85,23,21,4,0,303,8,36,144,77
org.apache.tools.ant.taskdefs.Deltree,1,0,3,3,3,0,49,1,3,47,11
org.apache.tools.ant.taskdefs.DependSet,7,75,11,7,4,0,143,4,5,116,33
org.apache.tools.ant.taskdefs.Dirname,0,50,3,2,3,0,21,2,3,42,5
org.apache.tools.ant.taskdefs.Ear,13,66,9,6,6,0,59,2,6,153,11
org.apache.tools.ant.taskdefs.Echo,3,75,8,5,3,0,57,4,6,51,12
org.apache.tools.ant.taskdefs.Echo.EchoLevel,,,0,0,2,0,6,0,1,19,1
org.apache.tools.ant.taskdefs.email.EmailAddress,3,50,0,0,1,0,28,2,5,16,8
org.apache.tools.ant.taskdefs.email.EmailTask,173,94,15,11,3,2,223,14,22,99,44
org.apache.tools.ant.taskdefs.email.EmailTask.Encoding,,,1,0,2,0,6,0,1,19,1
org.apache.tools.ant.taskdefs.email.Mailer,78,100,6,5,1,3,51,11,13,25,13
org.apache.tools.ant.taskdefs.email.Message,24,80,7,5,2,0,47,4,6,30,11
org.apache.tools.ant.taskdefs.email.MimeMailer,,,28,18,2,0,71,0,2,66,8
org.apache.tools.ant.taskdefs.email.PlainMailer,,,12,7,2,1,65,0,2,55,11
org.apache.tools.ant.taskdefs.email.UUMailer,,,10,6,3,0,18,0,1,36,2
org.apache.tools.ant.taskdefs.Exec,29,85,8,7,3,0,145,6,9,76,22
org.apache.tools.ant.taskdefs.Exec.StreamPumper,0,50,5,4,2,0,34,5,2,61,6
org.apache.tools.ant.taskdefs.ExecTask,259,93,19,14,3,3,215,15,26,110,48
org.apache.tools.ant.taskdefs.Execute,207,95,26,15,1,0,475,14,19,111,47
org.apache.tools.ant.taskdefs.Execute.CommandLauncher,,,4,3,1,8,19,0,2,18,4
org.apache.tools.ant.taskdefs.Execute.CommandLauncherProxy,0,,2,2,2,5,10,1,1,14,2
org.apache.tools.ant.taskdefs.Execute.Java11CommandLauncher,,,3,2,2,0,15,0,1,19,3
org.apache.tools.ant.taskdefs.Execute.Java13CommandLauncher,0,,7,5,2,0,32,1,1,21,5
org.apache.tools.ant.taskdefs.Execute.MacCommandLauncher,,,5,3,3,0,17,0,1,18,3
org.apache.tools.ant.taskdefs.Execute.OS2CommandLauncher,,,3,3,3,0,28,0,1,20,4
org.apache.tools.ant.taskdefs.Execute.PerlScriptCommandLauncher,0,,3,3,3,0,34,1,1,22,6
org.apache.tools.ant.taskdefs.Execute.ScriptCommandLauncher,0,,3,3,3,0,32,1,1,22,6
org.apache.tools.ant.taskdefs.Execute.WinNTCommandLauncher,,,3,3,3,0,26,0,1,18,4
org.apache.tools.ant.taskdefs.ExecuteJava,18,82,11,11,1,0,121,8,9,53,19
org.apache.tools.ant.taskdefs.ExecuteOn,61,86,17,13,4,2,233,11,15,107,45
org.apache.tools.ant.taskdefs.ExecuteOn.FileDirBoth,,,0,0,2,0,5,0,1,19,1
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,,,3,3,0,20,7,0,5,5,5
org.apache.tools.ant.taskdefs.ExecuteWatchdog,4,60,2,2,1,0,64,5,7,29,13
org.apache.tools.ant.taskdefs.Exit,11,77,2,1,3,0,40,3,7,48,12
org.apache.tools.ant.taskdefs.Expand,18,83,17,14,3,1,160,5,8,81,34
org.apache.tools.ant.taskdefs.Filter,0,66,4,2,3,0,35,3,5,45,8
org.apache.tools.ant.taskdefs.FixCRLF,54,90,22,14,4,0,630,13,15,178,85
org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove,,,0,0,2,0,5,0,1,19,1
org.apache.tools.ant.taskdefs.FixCRLF.CrLf,,,0,0,2,0,5,0,1,19,1
org.apache.tools.ant.taskdefs.FixCRLF.OneLiner,14,85,8,6,1,0,181,7,7,44,23
org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine,101,85,3,1,1,0,68,5,18,35,19
org.apache.tools.ant.taskdefs.GenerateKey,52,90,6,7,3,0,215,12,13,78,31
org.apache.tools.ant.taskdefs.GenerateKey.DistinguishedName,0,0,3,3,1,0,43,1,4,31,8
org.apache.tools.ant.taskdefs.GenerateKey.DnameParam,2,66,0,0,1,0,16,2,4,15,4
org.apache.tools.ant.taskdefs.Get,14,85,15,10,3,0,216,7,8,80,34
org.apache.tools.ant.taskdefs.Get.Base64Converter,1,,0,0,1,0,54,1,2,15,5
org.apache.tools.ant.taskdefs.GUnzip,1,,6,4,4,0,45,0,2,57,7
org.apache.tools.ant.taskdefs.GZip,,,6,2,4,0,19,0,1,47,2
org.apache.tools.ant.taskdefs.Input,5,66,7,3,3,0,33,3,5,49,8
org.apache.tools.ant.taskdefs.Jar,171,89,28,23,5,2,349,12,21,193,53
org.apache.tools.ant.taskdefs.Jar.FilesetManifestConfig,,,0,0,2,0,5,0,1,19,1
org.apache.tools.ant.taskdefs.Java,278,88,20,16,3,2,277,10,32,134,60
org.apache.tools.ant.taskdefs.Javac,2388,97,15,10,4,0,392,26,71,198,105
org.apache.tools.ant.taskdefs.Javac.ImplementationSpecificArgument,,,0,0,3,0,6,0,1,19,1
org.apache.tools.ant.taskdefs.Javadoc,2495,95,41,29,3,0,1071,29,79,263,187
org.apache.tools.ant.taskdefs.Javadoc.AccessType,,,0,0,2,0,5,0,1,19,1
org.apache.tools.ant.taskdefs.Javadoc.DocletInfo,0,0,3,3,3,0,11,1,2,27,2
org.apache.tools.ant.taskdefs.Javadoc.DocletParam,2,66,0,0,1,0,16,2,4,15,4
org.apache.tools.ant.taskdefs.Javadoc.ExtensionInfo,7,62,2,2,2,1,29,2,6,25,8
org.apache.tools.ant.taskdefs.Javadoc.GroupArgument,17,66,4,4,1,0,39,2,6,32,11
org.apache.tools.ant.taskdefs.Javadoc.Html,0,0,0,0,1,0,9,1,2,16,2
org.apache.tools.ant.taskdefs.Javadoc.JavadocOutputStream,1,0,2,0,3,0,31,1,2,27,8
org.apache.tools.ant.taskdefs.Javadoc.LinkArgument,15,80,1,1,1,0,25,3,6,17,7
org.apache.tools.ant.taskdefs.Javadoc.PackageName,1,0,0,0,1,0,12,1,3,15,3
org.apache.tools.ant.taskdefs.Javadoc.SourceFile,0,0,1,1,1,0,13,1,2,13,4
org.apache.tools.ant.taskdefs.Javadoc.TagArgument,7,75,6,2,1,0,81,4,5,29,21
org.apache.tools.ant.taskdefs.JDBCTask,216,91,11,10,3,1,180,11,24,82,39
org.apache.tools.ant.taskdefs.Jikes,0,,10,6,1,0,61,3,1,35,6
org.apache.tools.ant.taskdefs.JikesOutputParser,48,83,8,5,1,0,73,7,11,36,22
org.apache.tools.ant.taskdefs.KeySubst,13,75,11,7,3,0,104,4,7,72,16
org.apache.tools.ant.taskdefs.LoadFile,5,80,11,9,3,0,86,5,6,63,15
org.apache.tools.ant.taskdefs.LoadProperties,0,50,16,12,3,0,68,2,3,70,11
org.apache.tools.ant.taskdefs.LogOutputStream,7,85,4,3,2,2,40,4,6,30,10
org.apache.tools.ant.taskdefs.LogStreamHandler,,,5,2,2,1,15,0,1,30,2
org.apache.tools.ant.taskdefs.Manifest,14,72,17,14,1,0,528,4,14,102,45
org.apache.tools.ant.taskdefs.Manifest.Attribute,44,63,7,5,1,0,116,3,13,45,29
org.apache.tools.ant.taskdefs.Manifest.Section,30,69,12,8,1,0,191,4,16,62,44
org.apache.tools.ant.taskdefs.ManifestException,,,0,0,3,0,5,0,0,22,1
org.apache.tools.ant.taskdefs.ManifestTask,5,75,15,13,3,0,96,4,6,64,16
org.apache.tools.ant.taskdefs.ManifestTask.Mode,,,0,0,2,0,5,0,1,19,1
org.apache.tools.ant.taskdefs.MatchingTask,0,50,24,23,3,29,138,2,36,133,41
org.apache.tools.ant.taskdefs.Mkdir,0,0,2,2,3,0,25,1,2,44,6
org.apache.tools.ant.taskdefs.Move,,,12,6,4,0,186,0,4,94,37
org.apache.tools.ant.taskdefs.optional.ANTLR,173,91,13,9,3,0,176,13,21,97,41
org.apache.tools.ant.taskdefs.optional.Cab,42,85,19,13,4,0,168,8,13,156,31
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheck,26,86,5,4,4,3,54,3,8,57,13
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckin,,,1,0,5,0,7,0,0,50,1
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckinDefault,,,0,0,5,0,8,0,0,49,1
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckout,,,0,0,5,0,6,0,0,49,1
org.apache.tools.ant.taskdefs.optional.ccm.CCMCreateTask,178,95,9,6,4,0,132,6,19,85,29
org.apache.tools.ant.taskdefs.optional.ccm.CCMReconfigure,30,91,4,3,4,0,55,3,8,56,13
org.apache.tools.ant.taskdefs.optional.ccm.Continuus,11,78,7,4,3,6,41,2,6,54,7
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin,108,96,5,3,4,0,103,6,16,65,26
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout,215,97,5,3,4,0,142,8,22,71,36
org.apache.tools.ant.taskdefs.optional.clearcase.CCUnCheckout,4,83,5,3,4,0,35,1,4,53,7
org.apache.tools.ant.taskdefs.optional.clearcase.CCUpdate,93,96,6,3,4,0,100,6,15,65,23
org.apache.tools.ant.taskdefs.optional.clearcase.ClearCase,6,78,6,4,3,4,38,2,5,53,6
org.apache.tools.ant.taskdefs.optional.depend.AntAnalyzer,,,10,9,2,0,84,0,2,62,17
org.apache.tools.ant.taskdefs.optional.depend.ClassFile,0,50,8,7,1,0,40,2,3,29,7
org.apache.tools.ant.taskdefs.optional.depend.ClassFileIterator,,,1,1,0,2,3,0,1,1,1
org.apache.tools.ant.taskdefs.optional.depend.ClassFileUtils,,,0,0,1,0,8,0,2,14,2
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ClassCPInfo,0,16,4,3,2,0,21,2,4,24,5
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo,1,0,0,0,2,5,12,1,2,19,3
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPool,0,50,13,13,1,0,152,2,13,59,39
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPoolEntry,11,98,14,3,1,12,79,3,6,30,19
org.apache.tools.ant.taskdefs.optional.depend.constantpool.DoubleCPInfo,,,2,2,3,0,11,0,2,23,3
org.apache.tools.ant.taskdefs.optional.depend.constantpool.FieldRefCPInfo,3,60,5,5,2,0,46,5,6,30,8
org.apache.tools.ant.taskdefs.optional.depend.constantpool.FloatCPInfo,,,2,2,3,0,11,0,2,23,3
org.apache.tools.ant.taskdefs.optional.depend.constantpool.IntegerCPInfo,,,2,2,3,0,11,0,2,23,3
org.apache.tools.ant.taskdefs.optional.depend.constantpool.InterfaceMethodRefCPInfo,3,60,5,5,2,0,47,5,6,30,8
org.apache.tools.ant.taskdefs.optional.depend.constantpool.LongCPInfo,,,2,2,3,0,11,0,2,23,3
org.apache.tools.ant.taskdefs.optional.depend.constantpool.MethodRefCPInfo,3,60,5,5,2,0,46,5,6,30,8
org.apache.tools.ant.taskdefs.optional.depend.constantpool.NameAndTypeCPInfo,1,50,4,3,2,0,34,4,5,25,7
org.apache.tools.ant.taskdefs.optional.depend.constantpool.StringCPInfo,0,0,4,3,3,0,18,1,3,25,4
org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo,0,0,2,2,2,0,15,1,3,21,4
org.apache.tools.ant.taskdefs.optional.depend.Depend,157,88,20,15,4,0,486,11,22,179,101
org.apache.tools.ant.taskdefs.optional.depend.Depend.ClassFileInfo,,,1,1,1,0,6,4,0,11,0
org.apache.tools.ant.taskdefs.optional.depend.DirectoryIterator,1,,8,7,1,0,60,3,2,34,11
org.apache.tools.ant.taskdefs.optional.depend.JarFileIterator,1,,6,6,1,0,41,1,2,28,7
org.apache.tools.ant.taskdefs.optional.dotnet.CSharp,1687,96,6,5,4,0,391,24,61,175,93
org.apache.tools.ant.taskdefs.optional.dotnet.Ilasm,304,92,5,4,4,0,166,10,27,132,42
org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand,7,81,11,7,1,0,78,7,9,42,17
org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet,21,84,3,3,3,0,91,8,10,57,21
org.apache.tools.ant.taskdefs.optional.EchoProperties,15,75,12,9,3,0,82,3,7,59,14
org.apache.tools.ant.taskdefs.optional.ejb.BorlandDeploymentTool,215,94,28,19,2,0,266,8,23,145,45
org.apache.tools.ant.taskdefs.optional.ejb.BorlandGenerateClient,22,79,9,6,3,0,153,6,13,76,26
org.apache.tools.ant.taskdefs.optional.ejb.DDCreator,0,66,7,5,4,0,44,3,4,110,8
org.apache.tools.ant.taskdefs.optional.ejb.DDCreatorHelper,4,,3,3,1,0,58,3,3,26,8
org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler,21,87,14,11,2,3,180,12,10,70,40
org.apache.tools.ant.taskdefs.optional.ejb.Ejbc,12,83,7,5,4,0,70,6,8,117,13
org.apache.tools.ant.taskdefs.optional.ejb.EjbcHelper,7,92,9,7,1,0,124,7,5,38,19
org.apache.tools.ant.taskdefs.optional.ejb.EJBDeploymentTool,,,4,4,0,8,7,0,4,4,4
org.apache.tools.ant.taskdefs.optional.ejb.EjbJar,84,75,27,24,4,0,195,4,24,156,36
org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.Config,,,5,5,1,0,13,11,0,11,0
org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.DTDLocation,,,0,0,2,0,3,0,0,15,0
org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.NamingScheme,,,0,0,2,0,9,0,1,19,1
org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool,324,95,40,25,1,7,458,9,32,138,86
org.apache.tools.ant.taskdefs.optional.ejb.InnerClassFilenameFilter,0,,1,1,1,0,17,1,1,17,4
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool,52,90,11,8,2,0,144,7,12,82,24
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc,88,92,18,20,1,0,755,12,15,138,48
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.Classname,5,83,1,1,1,0,39,3,6,22,9
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbcException,,,0,0,3,0,5,0,0,22,1
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbcHandler,23,76,13,8,2,0,137,8,9,76,34
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.EjbInfo,388,84,10,5,1,0,283,10,32,67,56
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc.RedirectOutput,0,,5,3,2,0,23,1,1,61,3
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbcTask,50,82,10,10,3,0,132,7,13,69,24
org.apache.tools.ant.taskdefs.optional.ejb.JbossDeploymentTool,1,83,4,2,2,0,24,1,3,53,5
org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool,295,96,17,10,2,0,370,17,27,125,69
org.apache.tools.ant.taskdefs.optional.ejb.weblogic,,,0,0,1,0,3,1,0,11,0
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool,385,97,35,20,2,1,438,17,30,169,77
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicTOPLinkDeploymentTool,2,75,6,4,3,0,40,2,5,86,8
org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool,405,96,30,17,2,0,429,20,31,161,81
org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool.DBVendor,,,0,0,2,0,8,0,1,19,1
org.apache.tools.ant.taskdefs.optional.ejb.WLRun,122,92,6,4,3,0,180,14,20,73,40
org.apache.tools.ant.taskdefs.optional.ejb.WLStop,12,83,6,4,3,0,55,6,8,55,12
org.apache.tools.ant.taskdefs.optional.extension.Compatibility,0,,0,0,1,0,12,1,1,12,2
org.apache.tools.ant.taskdefs.optional.extension.DeweyDecimal,0,0,1,1,1,0,115,1,8,31,31
org.apache.tools.ant.taskdefs.optional.extension.Extension,181,90,10,9,1,0,370,7,21,62,57
org.apache.tools.ant.taskdefs.optional.extension.ExtensionAdapter,25,75,4,4,3,0,117,7,11,42,17
org.apache.tools.ant.taskdefs.optional.extension.ExtensionResolver,,,4,4,0,3,5,0,1,1,1
org.apache.tools.ant.taskdefs.optional.extension.ExtensionSet,0,37,11,8,3,0,53,2,6,42,8
