Resource,LCOM,LCOM*,CBO,FO,DIT,NOC,LOC,NOA,NOO,RFC,WMPC
org.apache.tools.ant.AntClassLoader,607,93,22,18,2,0,501,12,34,146,102
org.apache.tools.ant.AntClassLoader.ResourceEnumeration,0,67,5,3,1,0,32,3,3,19,5
org.apache.tools.ant.BuildEvent,25,92,4,3,2,0,51,6,8,24,11
org.apache.tools.ant.BuildException,45,58,3,3,4,1,68,2,8,33,17
org.apache.tools.ant.BuildListener,,,1,1,0,16,9,0,7,7,7
org.apache.tools.ant.BuildLogger,,,1,1,0,6,6,0,4,11,4
org.apache.tools.ant.DefaultLogger,79,79,10,4,1,3,121,5,14,57,26
org.apache.tools.ant.DemuxOutputStream,24,80,5,5,2,0,74,3,8,39,14
org.apache.tools.ant.DemuxOutputStream.BufferInfo,,,1,1,1,0,4,2,0,11,0
org.apache.tools.ant.Diagnostics,,,13,10,1,0,172,0,10,51,24
org.apache.tools.ant.DirectoryScanner,416,91,9,6,1,4,359,16,32,90,83
org.apache.tools.ant.DynamicConfigurator,,,1,1,0,0,5,0,2,2,2
org.apache.tools.ant.ExitException,0,,0,0,5,0,10,1,1,23,2
org.apache.tools.ant.FileScanner,,,1,1,0,5,16,0,14,14,14
org.apache.tools.ant.filters.BaseFilterReader,41,66,4,2,3,13,71,2,8,46,19
org.apache.tools.ant.filters.BaseParamFilterReader,4,0,1,1,4,9,18,1,2,42,4
org.apache.tools.ant.filters.ChainableReader,,,1,1,0,12,3,0,1,1,1
org.apache.tools.ant.filters.ClassConstants,6,,3,3,4,0,68,1,2,53,10
org.apache.tools.ant.filters.ExpandProperties,6,,2,2,4,0,39,1,2,46,8
org.apache.tools.ant.filters.HeadFilter,9,66,2,2,5,0,50,2,5,53,13
org.apache.tools.ant.filters.LineContains,8,66,4,4,5,0,83,2,6,61,19
org.apache.tools.ant.filters.LineContains.Contains,0,0,0,0,1,0,9,1,2,13,2
org.apache.tools.ant.filters.LineContainsRegExp,8,66,6,5,5,0,80,2,6,63,19
org.apache.tools.ant.filters.PrefixLines,9,66,2,2,5,0,64,2,5,54,16
org.apache.tools.ant.filters.ReplaceTokens,36,81,5,4,5,0,158,7,11,72,34
org.apache.tools.ant.filters.ReplaceTokens.Token,2,66,0,0,1,0,16,2,4,15,4
org.apache.tools.ant.filters.StringInputStream,0,0,2,2,2,0,26,1,5,34,6
org.apache.tools.ant.filters.StripJavaComments,6,,1,1,4,0,57,2,2,42,15
org.apache.tools.ant.filters.StripLineBreaks,9,50,2,2,5,0,55,1,5,52,14
org.apache.tools.ant.filters.StripLineComments,8,66,4,4,5,0,83,2,6,61,19
org.apache.tools.ant.filters.StripLineComments.Comment,0,0,0,0,1,0,9,1,2,13,2
org.apache.tools.ant.filters.TabsToSpaces,9,66,2,2,5,0,58,2,5,53,14
org.apache.tools.ant.filters.TailFilter,15,90,2,2,5,0,88,6,5,54,20
org.apache.tools.ant.filters.util.ChainReaderHelper,9,79,17,12,1,0,112,4,7,41,23
org.apache.tools.ant.filters.util.JavaClassHelper,,,7,6,1,0,28,0,1,27,5
org.apache.tools.ant.helper.ProjectHelperImpl,0,75,22,22,2,0,465,5,2,131,9
org.apache.tools.ant.helper.ProjectHelperImpl.AbstractHandler,0,,5,4,2,5,23,2,4,48,6
org.apache.tools.ant.helper.ProjectHelperImpl.DataTypeHandler,0,33,9,6,3,0,40,3,3,58,7
org.apache.tools.ant.helper.ProjectHelperImpl.NestedElementHandler,0,50,14,8,3,0,68,5,3,65,9
org.apache.tools.ant.helper.ProjectHelperImpl.ProjectHandler,,,9,3,3,0,85,0,7,73,24
org.apache.tools.ant.helper.ProjectHelperImpl.RootHandler,0,,10,7,2,0,47,1,3,58,9
org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler,1,0,8,4,3,0,56,1,2,65,14
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler,0,53,15,8,3,0,66,5,4,71,11
org.apache.tools.ant.input.DefaultInputHandler,,,10,6,1,0,42,0,3,31,8
org.apache.tools.ant.input.InputHandler,,,2,2,0,2,4,0,1,1,1
org.apache.tools.ant.input.InputRequest,6,75,0,0,1,1,22,2,4,16,6
org.apache.tools.ant.input.MultipleChoiceInputRequest,0,0,1,1,2,0,16,1,2,20,4
org.apache.tools.ant.input.PropertyFileInputHandler,1,50,7,4,1,0,36,1,2,24,7
org.apache.tools.ant.IntrospectionHelper,185,89,26,13,1,0,417,8,21,95,63
org.apache.tools.ant.IntrospectionHelper.AttributeSetter,,,3,3,0,8,5,0,1,1,1
org.apache.tools.ant.IntrospectionHelper.NestedCreator,,,1,1,0,3,4,0,1,1,1
org.apache.tools.ant.IntrospectionHelper.NestedStorer,,,1,1,0,1,4,0,1,1,1
org.apache.tools.ant.listener.AnsiColorLogger,0,45,6,4,2,0,120,6,2,50,17
org.apache.tools.ant.listener.CommonsLoggingListener,0,0,7,5,1,0,98,2,7,43,26
org.apache.tools.ant.listener.Log4jListener,0,0,5,3,1,0,100,1,7,42,27
org.apache.tools.ant.listener.MailLogger,4,0,13,10,2,0,77,1,4,72,13
org.apache.tools.ant.Location,4,,0,0,1,0,29,3,1,16,6
org.apache.tools.ant.Main,106,94,22,14,1,0,533,15,16,109,86
org.apache.tools.ant.NoBannerLogger,0,0,4,1,2,0,23,1,3,46,6
org.apache.tools.ant.PathTokenizer,0,50,4,2,1,0,64,4,2,23,15
org.apache.tools.ant.Project,3621,95,29,21,1,0,846,20,90,217,178
org.apache.tools.ant.ProjectComponent,4,0,1,1,1,238,19,1,4,16,6
org.apache.tools.ant.ProjectHelper,78,,18,12,1,1,206,0,12,74,40
org.apache.tools.ant.RuntimeConfigurable,38,83,9,6,1,0,82,6,11,42,20
org.apache.tools.ant.Target,153,86,7,7,1,0,145,7,21,56,39
org.apache.tools.ant.Task,279,88,7,6,2,185,137,8,25,57,34
org.apache.tools.ant.TaskAdapter,0,0,4,4,3,0,65,1,4,49,8
org.apache.tools.ant.TaskContainer,,,1,1,0,3,3,0,1,1,1
org.apache.tools.ant.taskdefs.AbstractCvsTask,702,95,18,10,3,2,352,19,39,131,82
org.apache.tools.ant.taskdefs.Ant,19,86,18,12,3,0,324,10,19,138,65
org.apache.tools.ant.taskdefs.Ant.Reference,1,0,0,0,2,0,13,1,2,16,3
org.apache.tools.ant.taskdefs.AntStructure,18,79,14,10,3,0,233,6,8,88,39
org.apache.tools.ant.taskdefs.Available,121,89,10,7,3,0,279,11,19,94,64
