Resource,JUC,JUC-TESTED,TEST-CLASS,Tested,DTTested,Qi,FANIN,CBO,DOIH,LOC,RFC,FANOUT,WMPC1,R-Qi,R-FANIN,R-CBO,R-DOIH,R-LOC,R-RFC,R-FANOUT,R-WMPC1
org.apache.commons.math.random.EmpiricalDistributionImpl.ArrayDataAdapter,33,1,1,0,1,0.6024479,2,4,2,22,19,2,5,27,27,58,40,17,10,47,16
org.apache.commons.math.random.EmpiricalDistributionImpl.DataAdapter,100,1,1,0,1,1,0,0,1,5,13,0,2,1,1,1,1,2,1,1,4
org.apache.commons.math.random.EmpiricalDistributionImpl.DataAdapterFactory,100,1,1,0,1,0.891652249,1,4,1,14,15,2,3,7,9,58,1,9,3,47,7
org.apache.commons.math.random.EmpiricalDistributionImpl.StreamDataAdapter,33,1,1,0,1,0.620703897,2,5,2,31,24,3,5,24,27,71,40,23,18,68,16
org.apache.commons.math.random.JDKRandomGenerator,0,0,0,0,0,1,0,0,2,2,30,0,0,1,1,1,40,1,31,1,1
org.apache.commons.math.random.RandomAdaptor,17,1,2,1,1,0.677729379,1,0,2,39,40,0,13,17,9,1,40,35,56,1,45
org.apache.commons.math.random.RandomDataImpl,96,1,1,0,1,0.069271819,1,8,1,239,74,6,57,75,9,86,1,90,90,86,91
org.apache.commons.math.random.ValueServer,92,1,2,1,1,0.195415765,1,11,1,130,55,6,32,63,9,89,1,79,75,86,81
org.apache.commons.math.special.Beta,57,1,2,1,1,0.039467317,4,4,1,71,23,2,11,78,71,58,1,63,16,47,36
org.apache.commons.math.special.Erf,50,1,2,1,1,0.604446113,1,2,1,12,13,1,3,26,9,38,1,8,1,33,7
org.apache.commons.math.special.Gamma,83,1,2,1,1,0.166386703,5,4,1,110,23,2,16,67,75,58,1,74,16,47,59
org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic,78,1,1,0,1,0.182273829,3,1,2,49,34,0,16,65,56,27,40,42,39,1,59
org.apache.commons.math.stat.descriptive.AbstractUnivariateStatistic,100,1,2,1,1,0.658253613,13,0,1,31,17,0,8,19,94,1,1,23,7,1,27
org.apache.commons.math.stat.descriptive.DescriptiveStatistics,96,1,2,1,1,0.087048593,1,14,1,86,60,2,25,74,9,91,1,68,83,47,72
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsImpl,10,1,2,1,1,0.150539629,2,2,2,60,62,2,16,68,27,38,40,50,84,47,59
org.apache.commons.math.stat.descriptive.moment.FirstMoment,60,1,2,1,1,0.835239746,5,0,3,36,35,0,6,13,75,1,60,25,44,1,21
org.apache.commons.math.stat.descriptive.moment.FourthMoment,50,1,2,1,1,0.250086234,8,0,6,29,44,0,5,57,90,1,94,22,63,1,16
org.apache.commons.math.stat.descriptive.moment.GeometricMean,83,1,2,1,1,0.501626503,4,1,3,28,43,1,7,37,71,27,60,20,61,33,25
org.apache.commons.math.stat.descriptive.moment.Kurtosis,57,1,2,1,1,0.210668776,2,4,3,69,45,2,13,62,27,58,60,60,67,47,45
org.apache.commons.math.stat.descriptive.moment.Mean,71,1,2,1,1,0.354845615,5,2,3,37,42,2,10,47,75,38,60,27,60,47,34
org.apache.commons.math.stat.descriptive.moment.SecondMoment,100,1,2,1,1,0.396328697,5,0,4,22,38,0,5,44,75,1,87,17,55,1,16
org.apache.commons.math.stat.descriptive.moment.Skewness,57,1,2,1,1,0.227939027,2,4,3,63,44,2,14,58,27,58,60,53,63,47,49
org.apache.commons.math.stat.descriptive.moment.StandardDeviation,50,1,2,1,1,0.037200934,2,2,3,48,56,2,14,79,27,38,60,40,78,47,49
org.apache.commons.math.stat.descriptive.moment.ThirdMoment,25,1,2,1,1,0.289512013,7,0,5,28,41,0,5,51,87,1,93,20,57,1,16
org.apache.commons.math.stat.descriptive.moment.Variance,86,1,2,1,1,0.055676917,7,3,3,101,49,2,28,76,87,50,60,72,70,47,75
org.apache.commons.math.stat.descriptive.rank.Max,50,1,2,1,1,0.587955314,3,0,3,37,37,0,11,28,56,1,60,27,52,1,36
org.apache.commons.math.stat.descriptive.rank.Median,0,0,2,1,1,0.858920212,0,0,3,6,21,0,1,10,1,1,60,4,14,1,2
org.apache.commons.math.stat.descriptive.rank.Min,50,1,2,1,1,0.587955314,3,0,3,37,37,0,11,28,56,1,60,27,52,1,36
org.apache.commons.math.stat.descriptive.rank.Percentile,86,1,2,1,1,0.145958525,4,1,2,56,25,0,13,69,71,27,40,46,21,1,45
org.apache.commons.math.stat.descriptive.StatisticalSummaryValues,100,1,2,1,1,0.284609025,2,1,1,65,30,0,12,52,27,27,1,56,31,1,41
org.apache.commons.math.stat.descriptive.summary.Product,50,1,2,1,1,0.627152335,1,0,3,37,36,0,9,20,9,1,60,27,48,1,29
org.apache.commons.math.stat.descriptive.summary.Sum,67,1,2,1,1,0.627152335,4,0,3,37,36,0,9,20,71,1,60,27,48,1,29
org.apache.commons.math.stat.descriptive.summary.SumOfLogs,100,1,1,0,1,0.627152335,3,0,3,37,37,0,9,20,56,1,60,27,52,1,29
org.apache.commons.math.stat.descriptive.summary.SumOfSquares,50,1,1,0,1,0.627152335,3,0,3,37,36,0,9,20,56,1,60,27,48,1,29
org.apache.commons.math.stat.descriptive.SummaryStatistics,100,1,1,0,1,0.351662114,3,4,1,64,41,1,18,48,56,58,1,55,57,33,68
org.apache.commons.math.stat.descriptive.SummaryStatisticsImpl,8,1,2,1,1,0.023828497,2,9,2,90,80,9,15,80,27,88,40,70,92,91,57
org.apache.commons.math.stat.Frequency,96,1,2,1,1,1.27E-05,1,7,1,174,66,4,43,90,9,83,1,85,86,76,86
org.apache.commons.math.stat.Frequency.NaturalComparator,0,0,0,0,0,0.970588235,0,0,1,5,15,0,1,3,1,1,1,2,3,1,2
org.apache.commons.math.stat.inference.ChiSquareTestImpl,46,1,1,0,1,0.012133937,2,4,1,134,33,3,36,82,27,58,1,82,38,68,85
org.apache.commons.math.stat.inference.TestFactory,0,0,0,0,0,0.865712156,1,4,1,19,17,3,4,9,9,58,1,15,7,68,12
org.apache.commons.math.stat.inference.TestFactoryImpl,0,0,0,0,0,0.83600743,1,4,2,11,18,2,3,12,9,58,40,7,9,47,7
org.apache.commons.math.stat.inference.TestUtils,90,1,2,1,1,0.420741802,0,5,1,127,68,4,29,42,1,71,1,78,87,76,78
org.apache.commons.math.stat.inference.TTestImpl,0,0,0,0,0,1.17E-07,2,6,1,239,74,4,49,91,27,80,1,90,90,76,87
org.apache.commons.math.stat.regression.SimpleRegression,100,1,2,1,1,0.023669799,1,5,1,130,41,2,32,81,9,71,1,79,57,47,81
org.apache.commons.math.stat.StatUtils,96,1,2,1,1,0.008190684,2,12,1,124,57,4,30,83,27,90,1,76,81,76,79
org.apache.commons.math.util.ContinuedFraction,57,1,2,1,1,0.254723529,3,2,1,61,20,1,12,56,56,38,1,52,12,33,41
org.apache.commons.math.util.DefaultTransformer,100,1,2,1,1,0.846300313,0,1,1,16,19,1,3,11,1,27,1,12,10,33,7
org.apache.commons.math.util.MathUtils,79,1,2,1,1,5.72E-04,12,1,1,285,56,0,91,86,93,27,1,92,78,1,92
org.apache.commons.math.util.ResizableDoubleArray,79,1,2,1,1,0.050728262,2,0,1,228,47,0,50,77,27,1,1,87,68,1,89
org.apache.commons.math.util.TransformerMap,90,1,2,1,1,0.664543529,1,6,1,45,31,4,12,18,9,80,1,37,35,76,41
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
