Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
BOBYQAOptimizerTest;28.0;1.0;28.0;345;0;0;2
Transformer;5.0;0;4.0;77;1;1;2
TrapezoidIntegratorTest;3.0;1.0;9.0;345;0;0;3
LevenbergMarquardtOptimizer;101.0;6.0;19.0;927;1;1;2
KeplerHandler;5.0;1.0;5.0;345;0;0;3
Ackley;4.0;1.0;4.0;345;0;0;3
Vector2DFormatTest;2.0;2.0;1.0;345;0;0;3
TriDiagonalTransformer;31.0;1.0;9.0;210;0;1;1
Equation;2.0;1.0;2.0;345;0;0;3
SubLineTest;13.0;1.0;7.0;345;0;0;3
GraggBulirschStoerIntegrator;104.0;3.0;18.0;772;1;1;2
EmptyClusterStrategy;0.0;0;2.0;11;0;0;0
Cosh;3.0;1.0;8.0;24;1;1;2
Atanh;3.0;1.0;6.0;24;1;1;2
CurveFitterTest;5.0;1.0;7.0;345;0;0;3
BrentSolverTest;7.0;1.0;18.0;345;0;0;2
LegendreParametricTest;5.0;2.0;2.0;345;0;0;3
Osborne2Function;5.0;2.0;3.0;345;0;0;3
Token;0.0;0;2.0;345;0;0;3
SimplePointChecker;8.0;2.0;7.0;116;1;1;2
KowalikOsborneFunction;6.0;2.0;2.0;345;0;0;3
LutherFieldStepInterpolator;4.0;3.0;9.0;172;1;0;1
MathRuntimeException;4.0;4.0;3.0;39;1;0;1
VectorialCovarianceTest;8.0;1.0;7.0;345;0;0;3
DormandPrince853StepInterpolator;32.0;3.0;9.0;366;1;0;1
MicrosphereProjectionInterpolator;11.0;1.0;10.0;133;1;0;1
ParamBrusselator;7.0;2.0;5.0;345;0;0;3
EulerFieldIntegrator;5.0;3.0;10.0;64;1;1;2
IterationEvent;2.0;2.0;5.0;32;0;0;0
Osborne1Function;5.0;2.0;3.0;345;0;0;3
MultivariateOptimizer;8.0;3.0;22.0;14;1;0;2
EvaluationTest;23.0;1.0;22.0;345;0;0;2
BinaryChromosomeTest;5.0;1.0;3.0;345;0;0;3
CigTab;4.0;1.0;3.0;345;0;0;3
ThreeEighthesFieldStepInterpolator;4.0;3.0;9.0;106;1;0;1
MidpointFieldStepInterpolator;4.0;3.0;9.0;85;1;0;1
Position;0.0;0;2.0;10;0;0;0
SubOrientedPoint;7.0;2.0;6.0;44;1;0;1
GoalType;0.0;0;36.0;13;0;0;2
IterativeLinearSolver;9.0;1.0;14.0;141;1;1;2
DormandPrince853IntegratorTest;28.0;1.0;24.0;345;0;0;2
Edge;15.0;1.0;11.0;168;0;1;1
FieldMatrix;0;0;0;736;1;1;2
PolynomialFunctionTest;15.0;1.0;4.0;345;0;0;3
DummyIntegrator;1.0;3.0;3.0;345;0;0;3
TricubicSplineInterpolatingFunctionTest;51.0;1.0;6.0;345;0;0;2
NPointCrossoverTest;12.0;1.0;11.0;345;0;0;3
LineTest;11.0;1.0;9.0;345;0;0;3
QuadraticProblem;6.0;1.0;4.0;345;0;0;3
AdamsBashforthIntegrator;18.0;5.0;19.0;292;1;1;2
OptimizationData;0;0;0;10;0;0;0
CorrelatedRandomVectorGeneratorTest;22.0;1.0;16.0;345;0;0;2
PolyhedronsSetTest;39.0;1.0;34.0;345;0;0;2
ArithmeticUtilsTest;40.0;1.0;5.0;345;0;0;3
HighamHall54StepInterpolatorTest;10.0;1.0;14.0;345;0;0;3
DBSCANClustererTest;11.0;1.0;6.0;345;0;0;3
DiffPow;2.0;1.0;5.0;345;0;0;3
NestedLoops;19.0;1.0;14.0;143;0;0;3
KalmanFilterTest;13.0;1.0;19.0;345;0;0;2
Complex;105.0;1.0;26.0;1184;1;1;2
NumberIsTooSmallException;5.0;7.0;191.0;60;0;0;2
UnivariateDifferentiableVectorFunction;0;0;0;17;1;0;1
ConvexHull;0;0;0;21;1;0;1
Bar;1.0;1.0;2.0;345;0;0;3
SsDiffPow;1.0;1.0;4.0;345;0;0;3
DormandPrince54StepInterpolatorTest;10.0;1.0;14.0;345;0;0;3
Log;3.0;1.0;10.0;24;1;1;2
SynchronizedDescriptiveStatistics;16.0;2.0;6.0;153;1;1;2
RandomGeneratorFactoryTest;1.0;3.0;3.0;345;0;0;3
FastFourierTransformerTest;66.0;1.0;13.0;345;0;0;2
CompositeFormat;18.0;1.0;8.0;176;0;1;1
IntervalsSetTest;5.0;1.0;10.0;345;0;0;3
Ackley;4.0;1.0;4.0;345;0;0;3
Vertex;11.0;1.0;4.0;86;0;0;0
FeatureInitializer;0;0;0;13;1;0;1
MultivariateDifferentiableOptimizer;0;0;0;16;0;0;0
SetVisitor;1.0;2.0;2.0;345;0;0;3
MidPointIntegratorTest;4.0;1.0;9.0;345;0;0;3
MicrosphereInterpolator;5.0;1.0;11.0;75;1;0;1
KeplerHandler;5.0;1.0;4.0;345;0;0;3
FastFourierTransformer;36.0;1.0;18.0;572;0;1;2
SimplexOptimizerMultiDirectionalTest;10.0;1.0;16.0;345;0;0;2
BaseMultivariateMultiStartOptimizer;18.0;1.0;18.0;151;1;0;2
Foo;1.0;1.0;2.0;345;0;0;3
TopographicErrorHistogram;7.0;1.0;9.0;56;1;1;2
MedianTest;10.0;2.0;7.0;345;0;0;3
SqrtTest;7.0;1.0;5.0;345;0;0;3
StatisticalReferenceDataset;31.0;1.0;6.0;345;0;0;3
CircleTest;15.0;1.0;18.0;345;0;0;2
ClassicalRungeKuttaStepInterpolatorTest;5.0;1.0;11.0;345;0;0;3
LinearRank1Function;4.0;2.0;4.0;345;0;0;3
Split;7.0;1.0;4.0;51;0;0;0
SimpleInverseFunction;4.0;1.0;3.0;345;0;0;3
Divide;1.0;1.0;3.0;11;1;0;1
LutherFieldIntegrator;6.0;3.0;12.0;108;1;1;2
DormandPrince853Integrator;7.0;4.0;14.0;217;1;1;2
FieldStepNormalizer;17.0;1.0;13.0;220;1;1;2
MinpackTest;19.0;1.0;24.0;345;0;0;2
LocalException;0.0;4.0;1.0;345;0;0;3
SquareNeighbourhood;0.0;0;5.0;19;0;0;0
AbstractFieldMatrix;175.0;1.0;28.0;977;1;1;2
MultivariateRealDistribution;0;0;0;54;1;0;1
IdentityPreconditioner;1.0;1.0;3.0;7;0;0;0
OrientedPoint;14.0;1.0;11.0;113;1;0;1
SumOfClusterVariancesTest;5.0;1.0;5.0;345;0;0;3
HarmonicCurveFitter;7.0;2.0;10.0;380;1;1;2
LUDecompositionTest;23.0;1.0;7.0;345;0;0;3
RegressionResults;40.0;1.0;9.0;376;0;1;1
LinearOptimizer;10.0;4.0;9.0;62;1;0;1
