Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
StandardXYZURLGenerator;1.0;2.0;4.0;19;1;0;1
BubbleXYItemLabelGeneratorTest;6.0;1.0;6.0;182;0;0;3
ExportUtils;8.0;1.0;2.0;185;0;1;1
XYCoordinateType;10.0;1.0;1.0;82;0;0;0
CategoryLabelWidthTypeTest;3.0;1.0;2.0;182;0;0;3
FontDisplayField;5.0;6.0;3.0;55;0;1;1
XYDifferenceRendererTest;7.0;1.0;10.0;182;0;0;3
DefaultWindDataset;26.0;4.0;7.0;251;1;1;2
OutlierTest;4.0;1.0;1.0;182;0;0;3
XYTextAnnotationTest;5.0;1.0;4.0;182;0;0;3
ChartMouseListener;0;0;0;21;0;0;0
CategoryItemRendererState;16.0;2.0;25.0;161;0;0;2
StackedXYAreaRenderer2Test;7.0;1.0;14.0;182;0;0;3
DefaultCategoryItemRenderer;0.0;4.0;3.0;10;0;0;0
DefaultOHLCDatasetTest;6.0;1.0;6.0;182;0;0;3
HistogramBin;12.0;1.0;2.0;101;1;0;1
ValueAxis;163.0;2.0;138.0;1480;1;1;2
ShipNeedle;8.0;2.0;3.0;76;1;0;1
TimePeriodAnchor;11.0;1.0;11.0;86;0;0;0
Value;0;0;0;11;1;1;2
XYSplineState;1.0;4.0;3.0;20;0;0;0
Task;21.0;1.0;14.0;177;0;1;1
BlockFrame;0;0;0;22;1;0;1
DefaultValueDataset;10.0;2.0;11.0;81;1;1;2
DialPointerTest;7.0;1.0;6.0;182;0;0;3
Overlay;0;0;0;27;1;1;2
VectorSeriesCollection;23.0;4.0;12.0;259;1;1;2
AbstractXYItemRenderer;163.0;2.0;74.0;1450;1;1;2
ChartTheme;0;0;0;17;1;1;2
LineFunction2DTest;4.0;1.0;2.0;182;0;0;3
DataPackageResources_ru;1.0;3.0;0.0;19;1;0;1
PieLabelRecord;29.0;1.0;5.0;215;1;0;1
ScatterPlotTest;5.0;1.0;12.0;182;0;0;3
DomainOrder;11.0;1.0;12.0;84;0;0;0
ColorBlock;11.0;2.0;8.0;120;1;1;2
AbstractRenderer;303.0;1.0;111.0;2800;1;1;2
XYStepRenderer;28.0;4.0;21.0;255;1;1;2
LocalListener;1.0;1.0;3.0;182;0;0;3
RingPlot;62.0;3.0;26.0;591;1;1;2
StandardChartThemeTest;3.0;1.0;7.0;182;0;0;3
CategoryAxisTest;5.0;1.0;3.0;182;0;0;3
RectangleConstraint;33.0;1.0;28.0;282;0;1;2
